game_name,game_code,type,cost_price,tax,sale_price
Counter-Strike,pc,2,9.17,0.09,9.99
Day of Defeat,pc,2,4.58,0.09,4.99
Deathmatch Classic,pc,2,4.58,0.09,4.99
Ricochet,pc,2,4.58,0.09,4.99
Team Fortress 2,pc,2,0.0,0.09,0.0
Left 4 Dead,pc,2,18.34,0.09,19.99
Left 4 Dead 2,pc,2,18.34,0.09,19.99
Dota 2,pc,2,0.0,0.09,0.0
Alien Swarm,pc,2,0.0,0.09,0.0
Rag Doll Kung Fu,pc,2,9.17,0.09,9.99
Killing Floor,pc,2,18.34,0.09,19.99
DEFCON,pc,2,9.17,0.09,9.99
Multiwinia,pc,2,9.17,0.09,9.99
Dangerous Waters,pc,2,13.75,0.09,14.99
Space Empires V,pc,2,13.75,0.09,14.99
Earth 2160,pc,2,4.58,0.09,4.99
Quake III Arena,pc,2,13.75,0.09,14.99
Quake IV,pc,2,13.75,0.09,14.99
DOOM II,pc,2,4.58,0.09,4.99
QUAKE,pc,2,4.58,0.09,4.99
QUAKE II,pc,2,4.58,0.09,4.99
Bloody Good Time,pc,2,4.58,0.09,4.99
Shadowgrounds,pc,2,6.41,0.09,6.99
RIP - Trilogy(tm),pc,2,4.58,0.09,4.99
RIP - Trilogy(tm),pc,2,4.58,0.09,4.99
RIP - Trilogy(tm),pc,2,4.58,0.09,4.99
Call of Duty(r),pc,2,18.34,0.09,19.99
Call of Duty(r) 2,pc,2,18.34,0.09,19.99
688(I) Hunter/Killer,pc,2,9.17,0.09,9.99
Sub Command,pc,2,9.17,0.09,9.99
GTI Racing,pc,2,4.58,0.09,4.99
Xpand Rally,pc,2,4.58,0.09,4.99
Call of Juarez(tm),pc,2,9.17,0.09,9.99
Xpand Rally Xtreme,pc,2,4.58,0.09,4.99
Genesis Rising,pc,2,4.58,0.09,4.99
Painkiller Overdose,pc,2,1.14,0.09,1.24
Shattered Union,pc,2,4.58,0.09,4.99
Garrys Mod,pc,2,9.17,0.09,9.99
RACE - The WTCC Game,pc,2,36.69,0.09,39.99
RACE - The WTCC Game,pc,2,36.69,0.09,39.99
Titan Quest,pc,2,0.0,0.09,0.0
Company of Heroes,pc,2,18.34,0.09,19.99
Natural Selection 2,pc,2,9.17,0.09,9.99
Natural Selection 2,pc,2,9.17,0.09,9.99
Shank,pc,2,9.17,0.09,9.99
Shank,pc,2,9.17,0.09,9.99
FlatOut,pc,2,6.87,0.09,7.49
Bloodline Champions,pc,1,0.0,0.09,0.0
Joint Task Force,pc,2,9.17,0.09,9.99
Project: Snowblind,pc,2,5.5,0.09,5.99
Rogue Trooper,pc,2,9.17,0.09,9.99
Loki,pc,2,9.17,0.09,9.99
Two Worlds II,pc,2,18.34,0.09,19.99
Railroad Tycoon 3,pc,2,9.17,0.09,9.99
X-COM: Interceptor,pc,2,4.58,0.09,4.99
X-COM: Enforcer,pc,2,4.58,0.09,4.99
Men of War(tm),pc,2,4.58,0.09,4.99
NecroVision,pc,2,4.58,0.09,4.99
EVE Online,pc,1,18.34,0.09,19.99
RACE 07,pc,2,3.66,0.09,3.99
RACE On,pc,2,7.33,0.09,7.99
BioShock(r) 2,pc,2,18.34,0.09,19.99
Freedom Force,pc,2,4.58,0.09,4.99
Borderlands,pc,2,18.34,0.09,19.99
DOOM 3,pc,2,4.58,0.09,4.99
HeXen II,pc,2,4.58,0.09,4.99
RAGE,pc,2,9.17,0.09,9.99
RAGE,pc,2,9.17,0.09,9.99
Supreme Commander,pc,2,13.75,0.09,14.99
Gish,pc,2,9.17,0.09,9.99
Champions Online,pc,1,0.0,0.09,0.0
Star Trek Online,pc,1,0.0,0.09,0.0
TimeShift(tm),pc,2,18.34,0.09,19.99
The Club(tm),pc,2,13.75,0.09,14.99
Space Siege,pc,2,13.75,0.09,14.99
Gumboy Tournament,pc,2,2.74,0.09,2.99
Pacific Storm,pc,2,7.33,0.09,7.99
Pacific Storm Allies,pc,2,7.33,0.09,7.99
Dragon Nest,pc,1,0.0,0.09,0.0
Midnight Club 2,pc,2,9.17,0.09,9.99
